id,fila,columna,lat,lon,pendiente_grados,ndvi,humedad,viento_u,viento_v,prob_ignicion
ff84d764-0c10-4013-9180-b05c4aca6226,14,38,-14.013867,-68.944222,23.4287,0.3489,0.3838,0.3246,-0.2576,0.1011
3cd854c7-8d89-46e3-863e-06babf4ebb0d,14,39,-14.013867,-68.939722,37.5609,0.3117,0.3838,0.3246,-0.2576,0.0373
d7d7391e-f3f8-4843-8703-933f810892a3,14,40,-14.013867,-68.935222,33.3308,0.3287,0.3838,0.3246,-0.2576,0.2082
04d14418-db58-4aae-b5ad-24c7a1c6df63,14,41,-14.013867,-68.930722,20.8097,0.3476,0.3838,0.3246,-0.2576,0.1565
a1c40d0d-f424-480b-b39b-27527e904e82,14,42,-14.013867,-68.926222,25.0309,0.324,0.3838,0.3246,-0.2576,0.1229
3f74de4f-80e8-4164-8d37-6c327d73f4b9,14,43,-14.013867,-68.921722,21.8357,0.3516,0.3838,0.3246,-0.2576,0.0734
630c0fc9-3667-4c2d-b6b6-8ee90b138072,14,44,-14.013867,-68.917222,32.9549,0.3348,0.3838,0.3246,-0.2576,0.113
5b5e6334-7a09-4416-b8e6-f055bb3b326e,14,45,-14.013867,-68.912722,20.1554,0.3658,0.3838,0.3246,-0.2576,0.1671
24a9564a-4253-4f85-8af4-a15e2d9ecf4e,14,46,-14.013867,-68.908222,28.0841,0.3471,0.3838,0.3246,-0.2576,0.0145
d4824584-d622-45f4-a7e4-2225abf39c9d,14,47,-14.013867,-68.903722,20.5328,0.3267,0.3838,0.3246,-0.2576,0.0537
37d261df-ae94-4df0-b266-7d155b130032,14,48,-14.013867,-68.899222,14.3029,0.3633,0.3838,0.3246,-0.2576,0.0159
bb4ced25-6697-4ec4-95b3-f1c793b421ad,14,49,-14.013867,-68.894722,33.0583,0.3764,0.3838,0.3246,-0.2576,0.0143
9d0d2594-e423-4032-b054-d35b3f40f146,14,50,-14.013867,-68.890222,9.8709,0.3727,0.3838,0.3246,-0.2576,0.0084
22e4bb4f-2aa1-4b7b-945c-a56339b65afe,14,51,-14.013867,-68.885722,23.2733,0.3536,0.3838,0.3246,-0.2576,0.0116
1a45311f-2ffe-4c89-8c40-9bce2c89691e,14,52,-14.013867,-68.881222,18.5206,0.3057,0.3838,0.3246,-0.2576,0.006
e2a623ee-b71a-4563-85c8-479fc90831fd,14,53,-14.013867,-68.876722,23.6284,0.3106,0.3838,0.3246,-0.2576,0.0052
5fb67c05-63ac-4aa8-bc40-f89a6b2eacf6,14,54,-14.013867,-68.872222,18.3703,0.3172,0.3838,0.3246,-0.2576,0.0036
5b3b864c-6238-41b7-9302-455a2fbd6873,14,55,-14.013867,-68.867722,20.5328,0.3238,0.3838,0.3246,-0.2576,0.0108
63253a6b-043a-4a3c-a3f0-2856b3921c68,14,56,-14.013867,-68.863222,21.5594,0.3089,0.3838,0.3246,-0.2576,0.0035
6e64670f-ce52-4ccb-bf9e-48c5ab407f4c,14,57,-14.013867,-68.858722,17.0357,0.3225,0.3838,0.3246,-0.2576,0.008
ac483233-f59d-4809-9314-ce6caf4fdead,14,58,-14.013867,-68.854222,20.3075,0.3365,0.3838,0.3246,-0.2576,0.0061
08e75dc4-a066-4270-bb56-adf16cfc299f,14,59,-14.013867,-68.849722,27.909,0.341,0.3746,0.367,-0.275,0.0017
c17eb2d5-d025-4214-8e0e-51a3075edf67,14,60,-14.013867,-68.845222,20.6071,0.3565,0.3746,0.367,-0.275,0.0011
fcd0c6e7-b6a8-4ef4-8d88-03e4aff01c45,14,61,-14.013867,-68.840722,15.4232,0.3452,0.3746,0.367,-0.275,0.0028
d5c11972-9fe5-4f0f-8d70-142f4d231320,14,62,-14.013867,-68.836222,21.972,0.3414,0.3746,0.367,-0.275,0.0055
4c7535fb-113d-4163-977a-8e975fdd11d3,14,63,-14.013867,-68.831722,22.4234,0.3497,0.3746,0.367,-0.275,0.003
4a49c19c-35c7-438b-85d1-2b6bf871d190,14,64,-14.013867,-68.827222,17.932,0.3301,0.3746,0.367,-0.275,0.0017
706d4210-df4d-4303-bd92-3c33a517ac0a,14,65,-14.013867,-68.822722,8.9356,0.3144,0.3746,0.367,-0.275,0.0009
daf9ffe2-1474-4ecd-888e-659091dee599,14,66,-14.013867,-68.818222,15.9228,0.2929,0.3746,0.367,-0.275,0.0021
14d49266-8704-49ec-9eed-eb035d901b38,14,67,-14.013867,-68.813722,20.0018,0.2816,0.3746,0.367,-0.275,0.0034
0c1c08ec-3423-4e58-aa8b-06ee6581a774,15,39,-14.018367,-68.939722,,0.296,0.3838,0.3246,-0.2576,0.0881
d034e80e-39d0-46b0-8c97-b43de5aaf6c1,15,40,-14.018367,-68.935222,21.6116,0.3046,0.3838,0.3246,-0.2576,0.1325
f96cc927-99e9-4598-9636-6aa9584c98e7,15,41,-14.018367,-68.930722,22.0734,0.3281,0.3838,0.3246,-0.2576,0.0788
679bfd01-a332-4c26-919f-a76cd4ae3b56,15,42,-14.018367,-68.926222,10.2194,0.3272,0.3838,0.3246,-0.2576,0.0277
fa969c3e-41b8-4438-9846-2a3e6c77b6f7,15,43,-14.018367,-68.921722,25.2394,0.3592,0.3838,0.3246,-0.2576,0.1009
1d4e5104-9312-4143-bc19-52972744dd1d,15,44,-14.018367,-68.917222,17.2944,0.3412,0.3838,0.3246,-0.2576,0.0398
5cb96e05-a79c-4bf1-8cb3-866cf88f7f9d,15,45,-14.018367,-68.912722,21.2426,0.3595,0.3838,0.3246,-0.2576,0.0528
f4fd9354-8aa4-4655-91f2-2d0712326b76,15,46,-14.018367,-68.908222,3.017,0.3268,0.3838,0.3246,-0.2576,0.0224
f46497cc-78f8-4629-a2dc-787ffb9323d7,15,47,-14.018367,-68.903722,21.2604,0.3327,0.3838,0.3246,-0.2576,0.0927
de646fef-6d01-401e-a297-2007124174d0,15,48,-14.018367,-68.899222,11.6486,0.354,0.3838,0.3246,-0.2576,0.0146
2226ed63-a254-403c-9d9f-728ccd28ae74,15,49,-14.018367,-68.894722,20.828,0.3624,0.3838,0.3246,-0.2576,0.0182
60d60f53-f727-46ce-9cff-160c1752cd21,15,50,-14.018367,-68.890222,14.2736,0.344,0.3838,0.3246,-0.2576,0.0106
233927ce-3ae6-4844-92c8-2caee075fbd0,15,51,-14.018367,-68.885722,13.1663,0.3695,0.3838,0.3246,-0.2576,0.0262
e4a4c27d-50bb-4928-b061-d18e3d5a3c95,15,52,-14.018367,-68.881222,21.955,0.346,0.3838,0.3246,-0.2576,0.0209
9670776c-106f-459a-ae48-882ca3dfea1f,15,53,-14.018367,-68.876722,19.3103,0.349,0.3838,0.3246,-0.2576,0.0178
587fcea7-6048-4858-9df7-678fbbac0b99,15,54,-14.018367,-68.872222,11.9767,0.3511,0.3838,0.3246,-0.2576,0.0086
34474052-b875-4d9c-af4a-0b3cd79f2134,15,55,-14.018367,-68.867722,31.8928,0.3576,0.3838,0.3246,-0.2576,0.0325
ebdc34bb-c140-4445-9316-e6b8853f525d,15,56,-14.018367,-68.863222,6.7214,0.3732,0.3838,0.3246,-0.2576,0.0054
e2698adf-146a-4fae-880e-da77c7f03f4d,15,57,-14.018367,-68.858722,21.5594,0.3524,0.3838,0.3246,-0.2576,0.014
8b027181-223d-479b-bf55-28b2217f9a2d,15,58,-14.018367,-68.854222,25.2394,0.3235,0.3838,0.3246,-0.2576,0.0053
4ea68ef2-9da7-45a9-8e13-9e966873ab02,15,59,-14.018367,-68.849722,10.4308,0.356,0.3746,0.367,-0.275,0.0003
ee3a4b35-ee0b-4419-86b4-d201c0aa5805,15,60,-14.018367,-68.845222,13.1663,0.3474,0.3746,0.367,-0.275,0.0016
12ad1e2a-a6f7-4044-8e89-5fcfc1705bef,15,61,-14.018367,-68.840722,22.6199,0.3568,0.3746,0.367,-0.275,0.0047
b771a73a-6b01-4982-a666-b045dfb8b889,15,62,-14.018367,-68.836222,11.4618,0.3523,0.3746,0.367,-0.275,0.0044
c13bc318-c5a5-44e8-a723-c4a15ce6b12d,15,63,-14.018367,-68.831722,18.3054,0.3485,0.3746,0.367,-0.275,0.0033
b2ac9665-78f5-4254-9558-7f204f086307,15,64,-14.018367,-68.827222,7.2338,0.3272,0.3746,0.367,-0.275,0.0044
63178dd2-0964-4690-ab7b-515380d8d28d,15,65,-14.018367,-68.822722,15.8192,0.3127,0.3746,0.367,-0.275,0.0031
71059c3c-e013-4053-be6d-fd12e705befd,15,66,-14.018367,-68.818222,14.0362,0.3128,0.3746,0.367,-0.275,0.0059
b456fb36-2e45-4100-8490-c7bd5bb521aa,15,67,-14.018367,-68.813722,15.0424,0.3146,0.3746,0.367,-0.275,0.0022
ec9bddd1-ccc4-41c3-9820-50519ab1f968,15,68,-14.018367,-68.809222,23.6742,0.2851,0.3746,0.367,-0.275,0.0045
76c84e74-0a12-4a5c-82dc-8aa1c534e7fa,15,69,-14.018367,-68.804722,18.6482,0.2619,0.3746,0.367,-0.275,0.004
e33af9ce-b82e-48f4-a2da-11f6eb73213b,16,40,-14.022867,-68.935222,38.6719,0.3539,0.3838,0.3246,-0.2576,0.0903
f3527639-5110-4aa6-8933-002b06dff644,16,41,-14.022867,-68.930722,36.6992,0.3247,0.3838,0.3246,-0.2576,0.0961
9ace664e-84fe-44e6-aa04-dd8f81ca4e86,16,42,-14.022867,-68.926222,21.0457,0.3367,0.3838,0.3246,-0.2576,0.0842
bd436a76-81bf-4684-a841-49e27b0c2da5,16,43,-14.022867,-68.921722,21.938,0.3444,0.3838,0.3246,-0.2576,0.0562
6ff91b02-5944-4376-aeac-5313ccd53414,16,44,-14.022867,-68.917222,15.07,0.3415,0.3838,0.3246,-0.2576,0.0671
a24b26fd-70c7-477a-825b-1723c91b8731,16,45,-14.022867,-68.912722,21.6116,0.3556,0.3838,0.3246,-0.2576,0.0518
